dataset,turn,run_idx,samples,normal_output_count,normal_output_ratio,failure_count,failure_ratio,valid_answer_count,valid_answer_ratio,prediction_nonempty_count,prediction_nonempty_ratio,final_correctness,final_metric,llm_equal,f1,em,acc,math_equal,termination_counts,output_json,metrics_json,infer_log,eval_log
bamboogle,1,1,125,123,0.984,2,0.016,123,0.984,123,0.984,0.728,llm_equal,0.728,0.6991904761904761,0.592,0.648,0.592,"{""answered"": 123, ""end_with_repeated_query"": 1, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_01/evaluate_turn_1.log
bamboogle,1,2,125,124,0.992,1,0.008,124,0.992,124,0.992,0.744,llm_equal,0.744,0.7284571428571429,0.64,0.664,0.64,"{""answered"": 124, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_02/evaluate_turn_1.log
bamboogle,1,3,125,122,0.976,3,0.024,122,0.976,122,0.976,0.712,llm_equal,0.712,0.6925714285714286,0.624,0.672,0.624,"{""answered"": 122, ""end_with_repeated_query"": 1, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/bamboogle/run_03/evaluate_turn_1.log
2wiki,1,1,200,197,0.985,3,0.015,197,0.985,197,0.985,0.735,llm_equal,0.735,0.709762654012654,0.64,0.72,0.64,"{""answered"": 197, ""no_answer_tag"": 3}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_01/evaluate_turn_1.log
2wiki,1,2,200,198,0.99,2,0.01,198,0.99,198,0.99,0.705,llm_equal,0.705,0.6990493672993674,0.62,0.715,0.62,"{""answered"": 198, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_02/evaluate_turn_1.log
2wiki,1,3,200,200,1.0,0,0.0,200,1.0,200,1.0,0.7,llm_equal,0.7,0.7061947496947496,0.62,0.715,0.62,"{""answered"": 200}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/2wiki/run_03/evaluate_turn_1.log
hotpotqa,1,1,200,193,0.965,7,0.035,193,0.965,193,0.965,0.595,llm_equal,0.595,0.5595418470418471,0.46,0.5,0.46,"{""answered"": 193, ""end_with_repeated_query"": 3, ""no_answer_tag"": 4}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_01/evaluate_turn_1.log
hotpotqa,1,2,200,193,0.965,7,0.035,193,0.965,194,0.97,0.645,llm_equal,0.645,0.5725436507936508,0.48,0.525,0.48,"{""answered"": 193, ""end_with_repeated_query"": 2, ""no_answer_tag"": 5}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_02/evaluate_turn_1.log
hotpotqa,1,3,200,193,0.965,7,0.035,193,0.965,193,0.965,0.605,llm_equal,0.605,0.5561051352029612,0.45,0.495,0.45,"{""answered"": 193, ""end_with_repeated_query"": 2, ""no_answer_tag"": 5}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/hotpotqa/run_03/evaluate_turn_1.log
musique,1,1,200,179,0.895,21,0.105,179,0.895,181,0.905,0.27,llm_equal,0.27,0.23109167956904592,0.16,0.2,0.16,"{""answered"": 179, ""end_with_repeated_query"": 3, ""no_answer_tag"": 18}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/musique/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_active3_iter_0000059_qa_5x/musique/run_01/evaluate_turn_1.log
