dataset,turn,run_idx,samples,normal_output_count,normal_output_ratio,failure_count,failure_ratio,valid_answer_count,valid_answer_ratio,prediction_nonempty_count,prediction_nonempty_ratio,final_correctness,final_metric,llm_equal,f1,em,acc,math_equal,termination_counts,output_json,metrics_json,infer_log,eval_log
bamboogle,1,1,125,123,0.984,2,0.016,123,0.984,123,0.984,0.664,llm_equal,0.664,0.655104761904762,0.584,0.648,0.584,"{""answered"": 123, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_01/evaluate_turn_1.log
bamboogle,1,2,125,125,1.0,0,0.0,125,1.0,125,1.0,0.72,llm_equal,0.72,0.6856196248196249,0.592,0.672,0.592,"{""answered"": 125}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_02/evaluate_turn_1.log
bamboogle,1,3,125,123,0.984,2,0.016,123,0.984,123,0.984,0.704,llm_equal,0.704,0.6954935574229691,0.624,0.656,0.624,"{""answered"": 123, ""end_with_repeated_query"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/bamboogle/run_03/evaluate_turn_1.log
2wiki,1,1,200,198,0.99,2,0.01,198,0.99,198,0.99,0.73,llm_equal,0.73,0.7287365967365966,0.64,0.705,0.64,"{""answered"": 198, ""end_with_repeated_query"": 1, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_01/evaluate_turn_1.log
2wiki,1,2,200,200,1.0,0,0.0,200,1.0,200,1.0,0.75,llm_equal,0.75,0.7451787379287379,0.675,0.73,0.675,"{""answered"": 200}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_02/evaluate_turn_1.log
2wiki,1,3,200,199,0.995,1,0.005,199,0.995,199,0.995,0.71,llm_equal,0.71,0.7144881784881784,0.645,0.71,0.645,"{""answered"": 199, ""end_with_repeated_query"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/2wiki/run_03/evaluate_turn_1.log
hotpotqa,1,1,200,194,0.97,6,0.03,194,0.97,194,0.97,0.59,llm_equal,0.59,0.5523506493506494,0.455,0.5,0.455,"{""answered"": 194, ""end_with_repeated_query"": 3, ""no_answer_tag"": 3}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_01/evaluate_turn_1.log
hotpotqa,1,2,200,194,0.97,6,0.03,194,0.97,194,0.97,0.605,llm_equal,0.605,0.570596681096681,0.47,0.5,0.47,"{""answered"": 194, ""end_with_repeated_query"": 4, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_02/evaluate_turn_1.log
hotpotqa,1,3,200,197,0.985,3,0.015,197,0.985,197,0.985,0.605,llm_equal,0.605,0.5606522366522367,0.47,0.51,0.47,"{""answered"": 197, ""end_with_repeated_query"": 1, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/hotpotqa/run_03/evaluate_turn_1.log
musique,1,1,200,181,0.905,19,0.095,181,0.905,182,0.91,0.28,llm_equal,0.28,0.26228404647507364,0.16,0.185,0.16,"{""answered"": 181, ""end_with_repeated_query"": 3, ""no_answer_tag"": 16}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_01/evaluate_turn_1.log
musique,1,2,200,173,0.865,27,0.135,173,0.865,178,0.89,0.305,llm_equal,0.305,0.27526769883862906,0.19,0.215,0.19,"{""answered"": 173, ""end_with_repeated_query"": 1, ""no_answer_tag"": 21, ""timeout"": 5}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_02/musique/musique_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_02/musique/musique_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_131628/qwen3_8B_sft_rl_710_hybrid_common_query_2kdataset_general_cate_4gpu_iter_0000059_qa_5x/musique/run_02/evaluate_turn_1.log
