dataset,turn,run_idx,samples,normal_output_count,normal_output_ratio,failure_count,failure_ratio,valid_answer_count,valid_answer_ratio,prediction_nonempty_count,prediction_nonempty_ratio,final_correctness,final_metric,llm_equal,f1,em,acc,math_equal,termination_counts,output_json,metrics_json,infer_log,eval_log
bamboogle,1,1,125,122,0.976,3,0.024,122,0.976,122,0.976,0.68,llm_equal,0.68,0.6718868686868686,0.56,0.608,0.56,"{""answered"": 122, ""no_answer_tag"": 3}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_01/evaluate_turn_1.log
bamboogle,1,2,125,124,0.992,1,0.008,124,0.992,124,0.992,0.744,llm_equal,0.744,0.721552380952381,0.608,0.664,0.608,"{""answered"": 124, ""end_with_repeated_query"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_02/evaluate_turn_1.log
bamboogle,1,3,125,124,0.992,1,0.008,124,0.992,124,0.992,0.784,llm_equal,0.784,0.7607047619047619,0.672,0.72,0.672,"{""answered"": 124, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/bamboogle/run_03/evaluate_turn_1.log
2wiki,1,1,200,199,0.995,1,0.005,199,0.995,199,0.995,0.685,llm_equal,0.685,0.7029148074148074,0.63,0.68,0.63,"{""answered"": 199, ""end_with_repeated_query"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_01/evaluate_turn_1.log
2wiki,1,2,200,198,0.99,2,0.01,198,0.99,198,0.99,0.665,llm_equal,0.665,0.6669455266955266,0.6,0.66,0.6,"{""answered"": 198, ""end_with_repeated_query"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_02/evaluate_turn_1.log
2wiki,1,3,200,199,0.995,1,0.005,199,0.995,199,0.995,0.66,llm_equal,0.66,0.6610609113109112,0.57,0.67,0.57,"{""answered"": 199, ""end_with_repeated_query"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/2wiki/run_03/evaluate_turn_1.log
hotpotqa,1,1,200,197,0.985,3,0.015,197,0.985,197,0.985,0.625,llm_equal,0.625,0.5824084249084249,0.48,0.5,0.48,"{""answered"": 197, ""no_answer_tag"": 3}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_01/evaluate_turn_1.log
hotpotqa,1,2,200,196,0.98,4,0.02,196,0.98,196,0.98,0.59,llm_equal,0.59,0.5640836940836941,0.47,0.505,0.47,"{""answered"": 196, ""end_with_repeated_query"": 3, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_02/evaluate_turn_1.log
hotpotqa,1,3,200,197,0.985,3,0.015,197,0.985,198,0.99,0.6,llm_equal,0.6,0.5651135983899142,0.47,0.505,0.47,"{""answered"": 197, ""end_with_repeated_query"": 2, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/hotpotqa/run_03/evaluate_turn_1.log
musique,1,1,200,188,0.94,12,0.06,188,0.94,189,0.945,0.27,llm_equal,0.27,0.2564487776112776,0.15,0.19,0.15,"{""answered"": 188, ""end_with_repeated_query"": 3, ""no_answer_tag"": 9}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/musique/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_var010_iter_0000059_qa_5x/musique/run_01/evaluate_turn_1.log
