dataset,turn,run_idx,samples,normal_output_count,normal_output_ratio,failure_count,failure_ratio,valid_answer_count,valid_answer_ratio,prediction_nonempty_count,prediction_nonempty_ratio,final_correctness,final_metric,llm_equal,f1,em,acc,math_equal,termination_counts,output_json,metrics_json,infer_log,eval_log
bamboogle,1,1,125,123,0.984,2,0.016,123,0.984,123,0.984,0.728,llm_equal,0.728,0.6968761904761904,0.6,0.664,0.608,"{""answered"": 123, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_01/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_01/evaluate_turn_1.log
bamboogle,1,2,125,124,0.992,1,0.008,124,0.992,124,0.992,0.72,llm_equal,0.72,0.7043714285714286,0.616,0.656,0.624,"{""answered"": 124, ""no_answer_tag"": 1}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_02/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_02/evaluate_turn_1.log
bamboogle,1,3,125,122,0.976,3,0.024,122,0.976,123,0.984,0.752,llm_equal,0.752,0.7174857142857144,0.64,0.688,0.64,"{""answered"": 122, ""no_answer_tag"": 3}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_03/bamboogle/bamboogle_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/bamboogle/run_03/evaluate_turn_1.log
2wiki,1,1,200,200,1.0,0,0.0,200,1.0,200,1.0,0.69,llm_equal,0.69,0.6965764235764236,0.625,0.685,0.625,"{""answered"": 200}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_01/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_01/evaluate_turn_1.log
2wiki,1,2,200,200,1.0,0,0.0,200,1.0,200,1.0,0.71,llm_equal,0.71,0.6895621323121323,0.63,0.7,0.63,"{""answered"": 200}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_02/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_02/evaluate_turn_1.log
2wiki,1,3,200,198,0.99,2,0.01,198,0.99,198,0.99,0.695,llm_equal,0.695,0.6749340659340659,0.615,0.69,0.615,"{""answered"": 198, ""end_with_repeated_query"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_03/2wiki/2wiki_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/2wiki/run_03/evaluate_turn_1.log
hotpotqa,1,1,200,197,0.985,3,0.015,197,0.985,197,0.985,0.585,llm_equal,0.585,0.5708492063492063,0.455,0.5,0.455,"{""answered"": 197, ""end_with_repeated_query"": 1, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_01/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_01/evaluate_turn_1.log
hotpotqa,1,2,200,198,0.99,2,0.01,198,0.99,198,0.99,0.6,llm_equal,0.6,0.5603989898989898,0.45,0.495,0.45,"{""answered"": 198, ""end_with_repeated_query"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_02/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_02/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_02/evaluate_turn_1.log
hotpotqa,1,3,200,196,0.98,4,0.02,196,0.98,196,0.98,0.625,llm_equal,0.625,0.5711998556998558,0.465,0.505,0.465,"{""answered"": 196, ""end_with_repeated_query"": 2, ""no_answer_tag"": 2}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_03/hotpotqa/hotpotqa_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_03/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/hotpotqa/run_03/evaluate_turn_1.log
musique,1,1,200,183,0.915,17,0.085,183,0.915,184,0.92,0.285,llm_equal,0.285,0.2586069336809667,0.155,0.195,0.155,"{""answered"": 183, ""end_with_repeated_query"": 2, ""no_answer_tag"": 15}",/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/musique/run_01/musique/musique_output_1_metrics_overall.json,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/musique/run_01/infer.log,/data/oss_bucket_0/users/liuzheng/resources_open/benchmark_eval_result/multi_model_qa_5x/20260711_130354/qwen3_8B_sft_rl_709_2kdataset_general_cate_rho010_iter_0000059_qa_5x/musique/run_01/evaluate_turn_1.log
